slug	scientific	common	reason
neopelma_chrysolophum	Neopelma chrysolophum	Serra do Mar Tyrant-Manakin	not in eBird taxonomy
noise	Noise	Noise	not in eBird taxonomy
nyctibius_bracteatus	Nyctibius bracteatus	Rufous Potoo	not in eBird taxonomy
ochthoeca_diadema	Ochthoeca diadema	Yellow-bellied Chat-Tyrant	not in eBird taxonomy
ochthoeca_frontalis	Ochthoeca frontalis	Crowned Chat-Tyrant	not in eBird taxonomy
ochthoeca_jelskii	Ochthoeca jelskii	Jelski's Chat-Tyrant	not in eBird taxonomy
ochthoeca_pulchella	Ochthoeca pulchella	Golden-browed Chat-Tyrant	not in eBird taxonomy
odocoileus_virginianus	Odocoileus virginianus	White-tailed Deer	not in eBird taxonomy
oecanthus_celerinictus	Oecanthus celerinictus	Fast-calling Tree Cricket	not in eBird taxonomy
oecanthus_exclamationis	Oecanthus exclamationis	Davis's Tree Cricket	not in eBird taxonomy
oecanthus_fultoni	Oecanthus fultoni	Snowy Tree Cricket	not in eBird taxonomy
oecanthus_nigricornis	Oecanthus nigricornis	Blackhorned Tree Cricket	not in eBird taxonomy
oecanthus_niveus	Oecanthus niveus	Narrow-winged Tree Cricket	not in eBird taxonomy
oecanthus_pini	Oecanthus pini	Pine Tree Cricket	not in eBird taxonomy
oecanthus_quadripunctatus	Oecanthus quadripunctatus	Four-spotted Tree Cricket	not in eBird taxonomy
orchelimum_agile	Orchelimum agile	Agile Meadow Katydid	not in eBird taxonomy
orchelimum_concinnum	Orchelimum concinnum	Stripe-faced Meadow Katydid	not in eBird taxonomy
orchelimum_pulchellum	Orchelimum pulchellum	Handsome Meadow Katydid	not in eBird taxonomy
orocharis_saltator	Orocharis saltator	Jumping Bush Cricket	not in eBird taxonomy
otocichla_mupinensis	Otocichla mupinensis	Chinese Thrush	not in eBird taxonomy
otus_madagascariensis	Otus madagascariensis	Torotoroka Scops-Owl	not in eBird taxonomy
pachycephala_fuliginosa	Pachycephala fuliginosa	Western Whistler	not in eBird taxonomy
pachycephala_fulvotincta	Pachycephala fulvotincta	Rusty-breasted Whistler	not in eBird taxonomy
parus_minor	Parus minor	Japanese Tit	not in eBird taxonomy
parvipsitta_porphyrocephala	Parvipsitta porphyrocephala	Purple-crowned Lorikeet	not in eBird taxonomy
parvipsitta_pusilla	Parvipsitta pusilla	Little Lorikeet	not in eBird taxonomy
peneothello_cyanus	Peneothello cyanus	Blue-gray Robin	not in eBird taxonomy
peneothello_sigillata	Peneothello sigillata	White-winged Robin	not in eBird taxonomy
pericrocotus_flammeus	Pericrocotus flammeus	Orange Minivet	ERROR: ebird:scamin3 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
pericrocotus_tegimae	Pericrocotus tegimae	Ryukyu Minivet	ERROR: ebird:ryumin1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
periparus_elegans	Periparus elegans	Elegant Tit	ERROR: ebird:eletit2 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
periparus_rubidiventris	Periparus rubidiventris	Rufous-vented Tit	ERROR: ebird:ruvtit2 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
petronia_petronia	Petronia petronia	Rock Sparrow	ERROR: ebird:rocpet1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
peucaea_botterii	Peucaea botterii	Botteri's Sparrow	ERROR: ebird:botspa → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
phaeomyias_murina	Phaeomyias murina	Mouse-colored Tyrannulet	not in eBird taxonomy
pheucticus_tibialis	Pheucticus tibialis	Black-thighed Grosbeak	ERROR: ebird:bltgro1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
pheugopedius_coraya	Pheugopedius coraya	Coraya Wren	ERROR: ebird:corwre1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
